time,温度,湿度,A,B,C,health
2025-01-01 00:00:33,25.136,66.967,102.502,55.133,81.712,0.62902
2025-01-01 00:00:34,25.867,64.124,104.872,54.777,81.229,0.609586
2025-01-01 00:00:35,26.14,63.245,102.966,54.142,81.519,0.589976
2025-01-01 00:00:36,25.534,63.806,103.399,51.557,82.681,0.637605
2025-01-01 00:00:37,25.187,64.145,104.324,51.962,81.08,0.638716
2025-01-01 00:00:38,25.211,63.866,102.046,54.276,81.249,0.60452
2025-01-01 00:00:39,25.964,64.926,102.519,54.691,80.188,0.587898
2025-01-01 00:00:40,26.026,66.076,103.216,53.808,82.91,0.627899
2025-01-01 00:00:41,25.942,66.354,104.824,53.089,81.801,0.639686
2025-01-01 00:00:42,25.353,65.31,104.719,54.383,80.72,0.626561
2025-01-01 00:00:43,25.818,66.937,104.498,53.872,83.273,0.649778
2025-01-01 00:00:44,25.775,64.43,103.718,54.145,82.215,0.617461
2025-01-01 00:00:45,25.842,63.144,105.065,51.716,81.43,0.627856
2025-01-01 00:00:46,26.184,65.82,103.861,53.442,83.442,0.634181
2025-01-01 00:00:47,25.875,62.918,104.668,54.551,82.011,0.607103
2025-01-01 00:00:48,26.118,63.991,105.079,53.518,80.587,0.608701
2025-01-01 00:00:49,25.828,65.256,105.94,53.818,83.67,0.651715
2025-01-01 00:00:50,25.954,64.622,104.263,53.051,81.561,0.621641
2025-01-01 00:00:51,26.14,64.523,104.032,53.069,86.242,0.651365
2025-01-01 00:00:52,25.111,63.522,105.764,54.068,82.132,0.639868
2025-01-01 00:00:53,25.695,64.68,105.915,52.371,80.296,0.634471
2025-01-01 00:00:54,25.635,65.683,104.074,52.254,84.868,0.664931
2025-01-01 00:00:55,25.565,64.688,103.585,52.445,82.744,0.638735
2025-01-01 00:00:56,25.762,63.825,105.982,52.806,83.166,0.646675
2025-01-01 00:00:57,26.662,63.396,103.193,51.457,83.365,0.6155
2025-01-01 00:00:58,25.497,63.821,103.213,53.289,81.321,0.614375
2025-01-01 00:00:59,26.428,65.011,104.709,52.53,80.401,0.612152
2025-01-01 00:01:00,25.117,64.949,105.049,53.301,85.392,0.674012
2025-01-01 00:01:01,25.806,63.792,103.957,50.88,81.218,0.629265
2025-01-01 00:01:02,26.069,62.368,105.307,53.217,85.106,0.637458
2025-01-01 00:01:03,26.296,64.985,105.42,53.556,83.818,0.639441
2025-01-01 00:01:04,26.372,63.654,104.741,52.792,83.442,0.626033
2025-01-01 00:01:05,26.428,65.227,107.322,52.42,82.716,0.651364
2025-01-01 00:01:06,25.871,63.768,105.785,53.042,86.093,0.663126
2025-01-01 00:01:07,25.828,63.522,106.549,53.321,82.536,0.638919
2025-01-01 00:01:08,26.503,64.648,104.029,52.675,82.614,0.619406
2025-01-01 00:01:09,25.992,66.838,104.085,52.687,84.264,0.658146
2025-01-01 00:01:10,25.464,65.214,106.074,53.487,82.693,0.654678
2025-01-01 00:01:11,25.549,64.586,107.531,52.722,82.331,0.661412
2025-01-01 00:01:12,25.67,64.794,104.729,51.424,83.519,0.658343
2025-01-01 00:01:13,26.392,62.668,105.944,53.028,84.457,0.633736
2025-01-01 00:01:14,26.228,63.281,104.626,51.866,85.931,0.651172
2025-01-01 00:01:15,26.515,61.877,105.203,51.942,86.218,0.641413
2025-01-01 00:01:16,25.97,66.102,106.174,51.951,81.611,0.653365
2025-01-01 00:01:17,26.276,65.883,105.547,52.589,85.053,0.66278
2025-01-01 00:01:18,26.523,64.732,104.792,53.162,82.663,0.622109
2025-01-01 00:01:19,26.069,64.458,104.827,51.731,82.764,0.640733
2025-01-01 00:01:20,26.465,62.754,104.325,53.045,83.279,0.611554
2025-01-01 00:01:21,25.919,64.069,106.743,51.739,83.243,0.658364
2025-01-01 00:01:22,26.081,66.064,106.919,52.677,82.723,0.659549
2025-01-01 00:01:23,26.085,64.385,106.968,51.661,81.257,0.64422
2025-01-01 00:01:24,25.691,63.672,105.52,51.055,85.823,0.675448
2025-01-01 00:01:25,26.545,62.46,107.487,52.934,85.205,0.646629
2025-01-01 00:01:26,26.079,65.581,107.24,50.872,84.146,0.681049
2025-01-01 00:01:27,26.333,64.112,106.591,50.765,83.043,0.654285
2025-01-01 00:01:28,26.579,62.407,106.477,50.229,85.725,0.660711
2025-01-01 00:01:29,26.574,63.221,106.034,52.193,84.204,0.638269
2025-01-01 00:01:30,26.696,62.849,106.924,52.328,83.628,0.634207
2025-01-01 00:01:31,26.326,63.976,108.397,51.368,82.382,0.657162
2025-01-01 00:01:32,26.176,64.296,107.964,50.228,85.038,0.686333
2025-01-01 00:01:33,26.36,63.566,106.616,50.954,84.027,0.656331
2025-01-01 00:01:34,25.568,64.827,107.456,50.662,84.778,0.693413
2025-01-01 00:01:35,25.699,64.109,105.86,50.024,84.702,0.679065
2025-01-01 00:01:36,25.773,65.073,107.735,50.401,85.298,0.698227
2025-01-01 00:01:37,25.948,63.633,106.216,51.141,84.831,0.667033
2025-01-01 00:01:38,26.658,67.016,107.779,50.196,84.239,0.687792
2025-01-01 00:01:39,26.016,63.385,110.099,50.857,85.305,0.695678
2025-01-01 00:01:40,26.291,63.026,106.6,49.146,85.814,0.679229
2025-01-01 00:01:41,27.141,62.882,110.131,51.854,86.562,0.673378
2025-01-01 00:01:42,26.324,63.677,107.737,50.141,83.395,0.666377
2025-01-01 00:01:43,26.882,62.147,106.534,51.093,86.107,0.650213
2025-01-01 00:01:44,26.058,64.14,106.525,50.491,82.899,0.660343
2025-01-01 00:01:45,26.432,61.919,109.721,50.605,86.053,0.682667
2025-01-01 00:01:46,26.071,63.964,107.883,49.32,84.159,0.685234
2025-01-01 00:01:47,26.387,62.43,106.857,49.56,85.908,0.673161
2025-01-01 00:01:48,26.987,63.378,107.253,49.521,86.72,0.676456
2025-01-01 00:01:49,25.713,64.342,107.919,50.075,85.234,0.697568
2025-01-01 00:01:50,26.804,66.019,107.51,51.058,84.992,0.676451
2025-01-01 00:01:51,26.716,62.614,107.895,50.287,84.96,0.663161
2025-01-01 00:01:52,26.31,63.519,109.351,49.163,84.542,0.691346
2025-01-01 00:01:53,25.894,62.923,106.478,49.896,86.485,0.685452
2025-01-01 00:01:54,26.663,62.754,108.277,49.705,85.034,0.672234
2025-01-01 00:01:55,26.372,62.886,107.586,49.431,82.581,0.657749
2025-01-01 00:01:56,26.762,64.402,107.185,49.643,86.279,0.68309
2025-01-01 00:01:57,26.666,63.067,108.781,50.209,86.243,0.68314
2025-01-01 00:01:58,27.466,65.78,106.27,48.965,85.323,0.669499
2025-01-01 00:01:59,26.554,63.923,105.388,49.208,84.351,0.660379
2025-01-01 00:02:00,26.171,62.474,108.0,50.214,83.93,0.66672
2025-01-01 00:02:01,26.782,63.093,107.658,49.747,84.405,0.662885
2025-01-01 00:02:02,26.811,62.634,106.463,50.338,85.61,0.65585
2025-01-01 00:02:03,27.389,64.211,106.123,50.408,83.184,0.633339
2025-01-01 00:02:04,27.136,61.748,109.782,48.114,85.929,0.683546
2025-01-01 00:02:05,26.905,62.021,108.331,49.378,85.53,0.668749
2025-01-01 00:02:06,27.466,62.746,107.903,48.685,87.01,0.674913
2025-01-01 00:02:07,26.149,63.995,110.093,48.077,86.329,0.72123
2025-01-01 00:02:08,26.431,64.52,108.934,48.349,84.642,0.698516
2025-01-01 00:02:09,26.296,64.643,109.694,48.685,83.502,0.69673
2025-01-01 00:02:10,26.572,63.767,106.756,48.635,84.566,0.673886
2025-01-01 00:02:11,26.086,63.128,106.73,48.33,87.23,0.700035
2025-01-01 00:02:12,27.1,63.98,108.574,48.75,85.945,0.686546
2025-01-01 00:02:13,26.679,62.015,108.38,50.664,86.329,0.670903
2025-01-01 00:02:14,26.062,61.289,109.223,47.273,84.876,0.695439
2025-01-01 00:02:15,26.297,63.545,106.349,49.509,86.231,0.681458
2025-01-01 00:02:16,26.968,62.076,108.689,48.531,83.843,0.663482
2025-01-01 00:02:17,27.238,62.99,108.98,48.142,86.807,0.690311
2025-01-01 00:02:18,27.824,63.149,108.931,46.825,84.316,0.670068
2025-01-01 00:02:19,28.289,63.251,107.591,48.998,83.35,0.629582
2025-01-01 00:02:20,27.046,63.914,108.518,47.183,88.45,0.714151
2025-01-01 00:02:21,26.351,63.781,107.224,48.946,85.913,0.689195
2025-01-01 00:02:22,25.786,63.117,107.707,49.625,85.895,0.69453
2025-01-01 00:02:23,26.992,62.453,106.956,47.155,83.537,0.660373
2025-01-01 00:02:24,26.458,62.975,107.238,49.065,86.543,0.685767
2025-01-01 00:02:25,26.662,62.244,107.753,48.1,86.873,0.68913
2025-01-01 00:02:26,26.57,62.616,107.498,46.355,85.584,0.693602
2025-01-01 00:02:27,26.811,65.403,107.226,47.017,86.904,0.70982
2025-01-01 00:02:28,27.42,62.94,106.679,48.074,87.253,0.674503
2025-01-01 00:02:29,26.971,63.18,109.932,48.204,86.491,0.70028
2025-01-01 00:02:30,26.819,61.996,107.463,46.57,83.272,0.666275
2025-01-01 00:02:31,26.385,63.693,108.284,47.812,84.501,0.692252
2025-01-01 00:02:32,26.071,63.405,106.185,48.398,87.917,0.702879
2025-01-01 00:02:33,26.67,63.384,109.291,48.491,86.002,0.697812
2025-01-01 00:02:34,26.891,62.803,108.089,47.316,86.017,0.689496
2025-01-01 00:02:35,27.807,63.594,107.465,47.951,84.924,0.66018
2025-01-01 00:02:36,26.992,63.803,107.459,48.413,85.165,0.67649
2025-01-01 00:02:37,27.423,62.785,108.749,48.192,87.369,0.687577
2025-01-01 00:02:38,26.686,62.359,104.911,48.178,87.744,0.675958
2025-01-01 00:02:39,26.347,63.339,107.023,47.512,86.91,0.701264
2025-01-01 00:02:40,26.461,61.511,107.71,47.302,86.621,0.691343
2025-01-01 00:02:41,26.585,61.668,107.68,47.553,86.718,0.688843
2025-01-01 00:02:42,28.016,62.303,110.296,46.682,85.887,0.682486
2025-01-01 00:02:43,26.544,60.586,107.433,48.14,84.532,0.660988
2025-01-01 00:02:44,27.378,63.125,108.739,45.985,84.277,0.682625
2025-01-01 00:02:45,26.51,61.305,109.538,46.765,87.563,0.711031
2025-01-01 00:02:46,27.431,61.767,108.373,47.1,85.949,0.675068
2025-01-01 00:02:47,27.16,61.995,107.004,47.465,86.564,0.674616
2025-01-01 00:02:48,26.893,62.218,106.368,47.576,86.247,0.673958
2025-01-01 00:02:49,26.953,61.805,108.371,48.203,86.31,0.680092
2025-01-01 00:02:50,26.649,62.051,109.244,47.037,86.412,0.701536
2025-01-01 00:02:51,27.202,62.028,108.116,46.363,86.836,0.690681
2025-01-01 00:02:52,26.754,61.611,108.775,46.785,85.079,0.685776
2025-01-01 00:02:53,26.371,61.254,110.103,46.61,87.419,0.716872
2025-01-01 00:02:54,26.346,63.078,108.317,47.246,85.114,0.697239
2025-01-01 00:02:55,27.074,59.862,106.347,45.942,86.286,0.665713
2025-01-01 00:02:56,27.779,61.73,107.466,46.621,84.578,0.654546
2025-01-01 00:02:57,27.071,61.436,108.752,48.026,85.796,0.67537
2025-01-01 00:02:58,26.933,62.293,107.098,46.84,85.201,0.675858
2025-01-01 00:02:59,27.137,60.389,108.817,45.822,86.019,0.683711
2025-01-01 00:03:00,27.648,61.312,107.207,46.361,86.87,0.67138
2025-01-01 00:03:01,27.106,61.678,107.571,44.816,86.075,0.691137
2025-01-01 00:03:02,26.792,62.82,106.848,46.525,88.332,0.704602
2025-01-01 00:03:03,27.551,62.05,107.319,47.861,86.929,0.669465
2025-01-01 00:03:04,27.213,60.503,107.332,45.566,85.695,0.672145
2025-01-01 00:03:05,27.767,61.168,105.47,45.322,85.86,0.655339
2025-01-01 00:03:06,27.091,62.51,106.595,45.938,86.41,0.685405
2025-01-01 00:03:07,26.388,60.392,105.761,47.171,86.795,0.674422
2025-01-01 00:03:08,26.316,61.482,106.543,47.772,84.462,0.667315
2025-01-01 00:03:09,27.825,61.52,106.111,46.742,86.699,0.657752
2025-01-01 00:03:10,27.862,61.112,107.872,45.331,84.477,0.659509
2025-01-01 00:03:11,26.91,64.161,107.838,46.319,86.566,0.706238
2025-01-01 00:03:12,26.808,61.021,107.328,47.745,87.229,0.680383
2025-01-01 00:03:13,27.729,61.851,105.452,46.043,86.259,0.65872
2025-01-01 00:03:14,26.444,60.603,106.573,46.383,83.098,0.658196
2025-01-01 00:03:15,26.55,61.865,105.274,46.443,83.739,0.659855
2025-01-01 00:03:16,27.318,62.176,106.424,44.994,86.542,0.684745
2025-01-01 00:03:17,26.798,60.685,107.167,47.011,82.911,0.650092
2025-01-01 00:03:18,26.991,61.186,107.46,46.877,86.575,0.679691
2025-01-01 00:03:19,26.911,60.313,106.888,44.582,87.012,0.689754
2025-01-01 00:03:20,27.16,60.032,107.62,45.096,87.18,0.685929
2025-01-01 00:03:21,27.693,62.181,106.567,45.369,85.514,0.66841
2025-01-01 00:03:22,27.033,60.557,106.019,46.729,86.316,0.663857
2025-01-01 00:03:23,27.307,58.665,107.07,45.515,86.026,0.658954
2025-01-01 00:03:24,25.958,62.812,107.046,46.424,83.993,0.691827
2025-01-01 00:03:25,26.957,60.211,105.558,45.945,86.639,0.667494
2025-01-01 00:03:26,26.557,60.735,106.403,46.136,87.397,0.688798
2025-01-01 00:03:27,26.367,62.589,105.671,46.465,86.539,0.691241
2025-01-01 00:03:28,26.535,60.774,103.897,46.276,85.092,0.654381
2025-01-01 00:03:29,26.804,60.719,106.286,46.033,86.566,0.677767
2025-01-01 00:03:30,27.426,59.622,104.49,46.302,87.217,0.648432
2025-01-01 00:03:31,26.302,59.182,106.051,46.206,87.041,0.678291
2025-01-01 00:03:32,26.977,60.618,104.125,45.858,86.855,0.662012
2025-01-01 00:03:33,26.716,61.114,104.878,45.674,83.693,0.653452
2025-01-01 00:03:34,26.791,61.024,105.1,47.519,86.062,0.65822
2025-01-01 00:03:35,27.453,60.204,106.671,45.656,86.338,0.66495
2025-01-01 00:03:36,27.217,60.672,104.87,47.1,86.789,0.653888
2025-01-01 00:03:37,27.613,58.782,104.263,45.455,86.141,0.634731
2025-01-01 00:03:38,26.863,61.046,105.636,46.65,87.363,0.676076
2025-01-01 00:03:39,26.588,60.714,104.987,47.427,83.285,0.639006
2025-01-01 00:03:40,26.82,62.493,105.927,45.73,86.126,0.685367
2025-01-01 00:03:41,27.048,60.494,104.056,45.467,86.008,0.655539
2025-01-01 00:03:42,27.011,59.511,105.21,45.658,86.493,0.660117
2025-01-01 00:03:43,26.376,60.369,107.399,45.988,87.236,0.696361
2025-01-01 00:03:44,26.958,60.059,104.619,46.264,84.295,0.639947
2025-01-01 00:03:45,27.022,60.788,104.975,45.979,87.147,0.669511
2025-01-01 00:03:46,28.162,60.347,103.055,45.679,86.289,0.624948
2025-01-01 00:03:47,27.836,59.027,103.791,47.584,85.061,0.604729
2025-01-01 00:03:48,26.466,58.618,105.031,45.866,84.169,0.644929
2025-01-01 00:03:49,26.743,60.483,104.168,45.538,85.469,0.657918
2025-01-01 00:03:50,26.15,61.57,105.039,46.706,85.549,0.675879
2025-01-01 00:03:51,26.58,60.233,104.775,46.727,85.589,0.656661
2025-01-01 00:03:52,27.028,60.934,102.957,47.189,84.399,0.626887
2025-01-01 00:03:53,27.467,61.1,105.215,47.612,85.855,0.643536
2025-01-01 00:03:54,26.493,60.321,102.881,46.358,84.608,0.640637
2025-01-01 00:03:55,26.525,59.206,103.283,45.862,86.526,0.653218
2025-01-01 00:03:56,25.772,60.183,104.2,44.583,87.089,0.6934
2025-01-01 00:03:57,26.757,61.161,105.46,45.368,84.031,0.661641
2025-01-01 00:03:58,26.301,60.451,102.811,46.3,85.048,0.648753
2025-01-01 00:03:59,26.561,60.636,103.885,45.203,86.112,0.667664
2025-01-01 00:04:00,26.38,59.391,103.814,44.895,85.245,0.65807
2025-01-01 00:04:01,26.764,59.618,104.236,46.233,83.26,0.630371
2025-01-01 00:04:02,25.926,59.669,104.683,46.819,85.889,0.66704
2025-01-01 00:04:03,26.064,59.703,103.015,46.018,84.092,0.644604
2025-01-01 00:04:04,27.854,60.889,104.35,46.952,85.027,0.625908
2025-01-01 00:04:05,26.139,57.34,104.588,46.747,83.56,0.628864
2025-01-01 00:04:06,26.226,59.685,104.96,47.194,85.673,0.658913
2025-01-01 00:04:07,27.685,59.542,103.596,48.035,84.18,0.599947
2025-01-01 00:04:08,28.212,58.216,103.17,48.409,85.732,0.585473
2025-01-01 00:04:09,26.165,60.226,102.455,46.926,84.359,0.637874
2025-01-01 00:04:10,26.559,58.797,101.388,45.996,84.004,0.615517
2025-01-01 00:04:11,26.906,59.131,102.486,46.438,85.041,0.623636
2025-01-01 00:04:12,27.591,61.304,102.792,47.672,83.221,0.603586
2025-01-01 00:04:13,26.225,60.432,102.486,45.724,86.632,0.663695
2025-01-01 00:04:14,26.587,59.963,103.109,47.623,84.66,0.629465
2025-01-01 00:04:15,27.089,59.737,100.973,46.356,83.721,0.602963
2025-01-01 00:04:16,26.909,59.158,102.16,46.702,83.884,0.610367
2025-01-01 00:04:17,26.495,61.289,104.252,45.902,84.347,0.658102
2025-01-01 00:04:18,26.607,60.059,103.167,45.519,85.483,0.650976
2025-01-01 00:04:19,25.977,58.474,102.702,46.385,83.176,0.625994
2025-01-01 00:04:20,26.536,57.791,102.391,47.681,83.768,0.602375
2025-01-01 00:04:21,26.513,59.725,101.549,46.108,84.113,0.6243
2025-01-01 00:04:22,26.752,59.069,100.074,47.992,85.984,0.605004
2025-01-01 00:04:23,26.349,57.663,102.198,46.276,85.292,0.626046
2025-01-01 00:04:24,26.853,59.488,99.206,45.913,85.961,0.614054
2025-01-01 00:04:25,27.113,58.758,101.241,47.004,84.05,0.595361
2025-01-01 00:04:26,26.675,59.525,101.476,47.379,85.691,0.622331
2025-01-01 00:04:27,26.763,59.403,100.945,47.022,85.451,0.616336
2025-01-01 00:04:28,26.603,58.321,103.476,47.028,84.725,0.624949
2025-01-01 00:04:29,26.567,59.529,103.041,48.226,84.78,0.623039
2025-01-01 00:04:30,26.195,58.366,102.162,47.057,83.092,0.611189
2025-01-01 00:04:31,26.704,58.399,100.116,46.643,85.957,0.611001
2025-01-01 00:04:32,26.486,58.267,102.874,46.151,83.426,0.61863
2025-01-01 00:04:33,27.571,59.898,101.483,48.115,84.349,0.589871
2025-01-01 00:04:34,27.3,58.454,99.834,46.795,84.446,0.583165
2025-01-01 00:04:35,26.695,60.075,100.72,46.914,81.945,0.593776
2025-01-01 00:04:36,26.11,60.454,101.557,48.058,83.486,0.619359
2025-01-01 00:04:37,25.924,57.899,99.911,48.901,83.747,0.588774
2025-01-01 00:04:38,27.065,55.685,100.562,47.501,83.322,0.559224
2025-01-01 00:04:39,26.589,59.619,100.649,47.233,83.367,0.601344
2025-01-01 00:04:40,26.686,58.2,99.143,47.381,85.16,0.590983
2025-01-01 00:04:41,25.562,57.644,99.885,47.065,82.331,0.596494
2025-01-01 00:04:42,26.887,57.89,99.041,47.188,81.755,0.557193
2025-01-01 00:04:43,26.638,58.032,100.846,47.237,82.528,0.583485
2025-01-01 00:04:44,25.844,59.712,98.98,48.291,84.079,0.603667
2025-01-01 00:04:45,26.152,58.543,100.091,47.538,84.15,0.602934
2025-01-01 00:04:46,26.507,59.636,98.32,48.742,83.82,0.578356
2025-01-01 00:04:47,26.389,58.815,98.488,47.608,84.14,0.587088
2025-01-01 00:04:48,26.205,57.98,98.351,47.454,83.306,0.578355
2025-01-01 00:04:49,26.287,57.868,99.155,48.817,82.33,0.563884
2025-01-01 00:04:50,26.2,58.788,99.536,47.86,81.77,0.57794
2025-01-01 00:04:51,26.39,59.016,99.632,47.79,81.342,0.573195
2025-01-01 00:04:52,27.037,59.161,97.406,47.967,82.536,0.551316
2025-01-01 00:04:53,25.005,57.872,98.922,49.163,83.706,0.598846
2025-01-01 00:04:54,26.157,58.278,98.251,48.284,82.996,0.572215
2025-01-01 00:04:55,26.351,58.656,99.448,49.089,82.69,0.571472
2025-01-01 00:04:56,26.398,57.657,98.558,47.952,81.347,0.553599
2025-01-01 00:04:57,26.051,56.876,98.657,49.062,85.659,0.583351
2025-01-01 00:04:58,25.345,57.174,97.905,48.431,81.524,0.566249
2025-01-01 00:04:59,26.374,57.709,100.287,48.999,82.61,0.570427
2025-01-01 00:05:00,27.061,58.581,97.192,49.118,83.619,0.545209
2025-01-01 00:05:01,25.417,59.148,97.989,47.644,82.416,0.592744
2025-01-01 00:05:02,26.602,56.503,98.409,48.507,81.347,0.53516
2025-01-01 00:05:03,25.992,57.231,97.963,49.268,83.235,0.560647
2025-01-01 00:05:04,26.112,57.441,97.364,49.448,80.607,0.531838
2025-01-01 00:05:05,25.603,58.564,96.23,49.611,84.254,0.571581
2025-01-01 00:05:06,25.948,57.211,97.264,48.746,82.451,0.553499
2025-01-01 00:05:07,26.752,57.28,96.91,49.949,81.757,0.518572
2025-01-01 00:05:08,26.379,56.268,99.464,48.245,80.31,0.539957
2025-01-01 00:05:09,26.94,58.134,99.964,47.629,80.576,0.55197
2025-01-01 00:05:10,26.648,57.46,97.563,48.658,81.844,0.537691
2025-01-01 00:05:11,26.265,56.938,96.125,49.892,84.126,0.540906
2025-01-01 00:05:12,26.903,57.303,98.183,48.121,82.083,0.541612
2025-01-01 00:05:13,26.236,58.661,96.38,47.87,82.167,0.555172
2025-01-01 00:05:14,26.416,56.5,96.728,47.725,82.162,0.538823
2025-01-01 00:05:15,25.84,56.634,96.565,49.746,84.483,0.555567
2025-01-01 00:05:16,26.007,58.699,96.61,48.055,81.064,0.551884
2025-01-01 00:05:17,25.61,57.494,96.673,49.708,83.42,0.559397
2025-01-01 00:05:18,26.439,58.06,95.632,49.063,81.01,0.521883
2025-01-01 00:05:19,25.34,57.763,96.162,48.765,80.591,0.547132
2025-01-01 00:05:20,26.306,57.298,97.802,48.639,81.287,0.54152
2025-01-01 00:05:21,25.804,56.957,96.667,49.66,81.228,0.533278
2025-01-01 00:05:22,26.47,58.109,96.745,48.948,81.951,0.53887
2025-01-01 00:05:23,26.245,58.412,94.308,49.604,78.434,0.493015
2025-01-01 00:05:24,26.765,58.306,97.408,49.986,81.347,0.526127
2025-01-01 00:05:25,26.205,56.008,95.695,50.212,80.397,0.498534
2025-01-01 00:05:26,25.038,58.471,97.425,50.527,80.193,0.552521
2025-01-01 00:05:27,25.776,56.781,96.377,49.968,79.453,0.513279
2025-01-01 00:05:28,25.208,56.357,95.583,49.053,80.517,0.532345
2025-01-01 00:05:29,25.52,56.915,94.389,50.323,80.281,0.508755
2025-01-01 00:05:30,26.519,57.889,98.165,50.533,80.335,0.521931
2025-01-01 00:05:31,26.067,57.571,96.716,49.919,78.826,0.510452
2025-01-01 00:05:32,25.383,56.748,96.7,49.892,80.856,0.536601
2025-01-01 00:05:33,25.21,57.815,97.58,52.159,79.734,0.529043
2025-01-01 00:05:34,25.718,57.091,95.91,49.202,78.668,0.512468
2025-01-01 00:05:35,25.077,56.351,96.964,50.688,79.918,0.528802
2025-01-01 00:05:36,25.334,56.19,95.059,51.187,79.593,0.500505
2025-01-01 00:05:37,25.81,57.282,96.202,50.134,80.517,0.522498
2025-01-01 00:05:38,26.216,56.764,94.761,50.329,79.739,0.490295
2025-01-01 00:05:39,25.927,55.445,94.815,50.199,78.619,0.478979
2025-01-01 00:05:40,24.461,57.642,95.344,50.577,79.238,0.534827
2025-01-01 00:05:41,25.743,56.289,93.908,51.353,78.178,0.470057
2025-01-01 00:05:42,25.611,58.336,95.435,50.531,81.56,0.534562
2025-01-01 00:05:43,25.766,55.316,94.723,53.235,81.698,0.483805
2025-01-01 00:05:44,26.351,56.513,92.978,50.44,81.789,0.487698
2025-01-01 00:05:45,24.495,55.969,94.439,51.96,79.324,0.504841
2025-01-01 00:05:46,25.215,55.668,94.484,51.349,81.533,0.509735
2025-01-01 00:05:47,25.79,56.132,95.614,51.056,80.411,0.501953
2025-01-01 00:05:48,24.688,58.365,94.98,52.201,78.881,0.517205
2025-01-01 00:05:49,26.2,56.714,96.076,49.8,79.059,0.49885
2025-01-01 00:05:50,25.63,55.755,95.083,51.475,79.552,0.488274
2025-01-01 00:05:51,25.853,54.694,93.944,50.616,79.827,0.475152
2025-01-01 00:05:52,25.128,54.777,94.375,50.895,80.085,0.495502
2025-01-01 00:05:53,25.804,55.938,94.022,50.912,79.593,0.482023
2025-01-01 00:05:54,25.915,55.817,94.795,50.581,79.123,0.483219
2025-01-01 00:05:55,25.481,56.204,94.305,50.083,81.109,0.512329
2025-01-01 00:05:56,25.465,54.132,93.555,51.77,79.296,0.463595
2025-01-01 00:05:57,25.467,56.29,94.132,51.459,79.173,0.48549
2025-01-01 00:05:58,24.884,57.386,94.524,51.324,79.063,0.509998
2025-01-01 00:05:59,25.225,57.958,92.998,52.224,79.134,0.488521
2025-01-01 00:06:00,25.206,54.419,94.263,52.031,77.581,0.460869
2025-01-01 00:06:01,25.457,55.489,92.309,51.507,77.958,0.455088
2025-01-01 00:06:02,25.749,55.414,94.936,54.213,82.043,0.482123
2025-01-01 00:06:03,24.703,56.392,94.302,52.638,77.073,0.478435
2025-01-01 00:06:04,25.154,55.005,95.349,53.83,79.326,0.475915
2025-01-01 00:06:05,25.94,57.885,92.548,51.592,79.357,0.474981
2025-01-01 00:06:06,24.811,56.224,94.744,52.174,80.108,0.506962
