time,温度,湿度,A,B,C,label
2025-01-01 01:23:30,37.88,47.7,129.04,34.8,104.44,1
2025-01-01 01:23:31,37.82,47.87,128.85,34.16,104.53,1
2025-01-01 01:23:32,37.69,47.71,129.29,34.33,104.25,1
2025-01-01 01:23:33,37.62,47.94,129.25,34.24,104.66,1
2025-01-01 01:23:34,37.81,47.88,129.19,34.3,104.51,1
2025-01-01 01:23:35,38.01,47.9,129.32,34.21,104.65,1
2025-01-01 01:23:36,37.75,48.25,129.18,34.46,104.83,1
2025-01-01 01:23:37,37.6,47.97,129.44,34.24,104.65,1
2025-01-01 01:23:38,37.81,47.97,129.44,34.31,104.58,1
2025-01-01 01:23:39,37.6,47.81,129.52,34.31,104.64,1
2025-01-01 01:56:40,36.17,32.75,127.84,33.21,108.54,1
2025-01-01 01:56:41,36.18,32.76,127.97,33.06,108.51,1
2025-01-01 01:56:42,36.29,32.92,127.88,33.41,107.93,1
2025-01-01 01:56:43,36.58,32.87,128.06,33.08,108.24,1
2025-01-01 01:56:44,36.06,33.08,127.73,33.27,108.12,1
2025-01-01 01:56:45,35.92,32.67,128.13,33.08,108.08,1
2025-01-01 01:56:46,36.29,33.06,128.23,33.26,108.29,1
2025-01-01 01:56:47,36.22,32.69,128.21,33.08,108.39,1
2025-01-01 01:56:48,36.21,32.48,128.41,33.2,108.17,1
2025-01-01 01:56:49,36.35,32.9,128.4,33.19,108.47,1
2025-01-01 01:56:50,36.18,33.03,128.3,33.67,108.71,1
2025-01-01 01:56:51,35.68,33.15,128.18,33.46,108.0,1
2025-01-01 01:56:52,36.19,32.82,128.36,33.29,108.23,1
2025-01-01 01:56:53,35.94,32.93,128.48,33.47,108.77,1
2025-01-01 01:56:54,35.88,33.05,128.73,33.28,107.97,1
2025-01-01 01:56:55,35.67,32.6,128.94,33.56,108.59,1
2025-01-01 01:56:56,36.23,32.95,129.15,33.53,108.45,1
2025-01-01 01:56:57,36.23,33.22,129.02,33.76,108.41,1
2025-01-01 01:56:58,36.03,32.93,128.49,33.67,108.69,1
2025-01-01 01:56:59,35.58,32.98,128.89,33.56,108.93,1
2025-01-01 02:30:00,33.96,44.17,127.32,36.33,108.47,1
2025-01-01 02:30:01,33.95,44.22,127.2,36.56,108.63,1
2025-01-01 02:30:02,33.46,43.78,127.19,36.64,108.41,1
2025-01-01 02:30:03,34.1,44.22,127.45,36.36,108.29,1
2025-01-01 02:30:04,33.75,44.66,127.49,36.86,108.33,1
2025-01-01 02:30:05,34.24,43.94,127.45,36.46,108.31,1
2025-01-01 02:30:06,33.8,43.99,127.39,36.56,108.29,1
2025-01-01 02:30:07,34.09,43.87,127.89,36.55,108.42,1
2025-01-01 02:30:08,34.26,43.83,127.53,36.44,108.46,1
2025-01-01 02:30:09,33.77,44.05,127.66,36.76,108.55,1
2025-01-01 02:30:10,33.79,43.71,127.66,36.62,108.45,1
2025-01-01 02:30:11,33.97,43.82,127.64,36.52,108.46,1
2025-01-01 02:30:12,33.73,43.9,127.96,36.96,108.24,1
2025-01-01 02:30:13,33.78,43.29,127.71,36.48,108.41,1
2025-01-01 02:30:14,34.18,43.83,128.15,36.55,108.05,1
2025-01-01 02:30:15,33.76,43.56,127.84,36.75,108.03,1
2025-01-01 02:30:16,33.95,43.57,128.06,36.75,108.15,1
2025-01-01 02:30:17,34.02,43.29,128.38,36.67,108.41,1
2025-01-01 02:30:18,33.79,43.74,128.16,36.81,108.42,1
2025-01-01 02:30:19,33.75,43.8,128.31,36.63,108.1,1
