time,温度,湿度,A,B,C,label
2025-01-01 00:01:42,26.9,66.98,104.77,49.7,83.38,0
2025-01-01 00:01:43,26.94,66.99,104.75,49.71,83.47,0
2025-01-01 00:01:44,26.83,66.97,104.78,49.7,83.41,0
2025-01-01 00:01:45,26.84,66.84,104.84,49.66,83.42,0
2025-01-01 00:01:46,26.98,66.82,104.85,49.55,83.46,0
2025-01-01 00:01:47,26.97,66.84,104.85,49.63,83.48,0
2025-01-01 00:01:48,27.02,66.81,104.91,49.62,83.4,0
2025-01-01 00:01:49,26.95,66.87,104.88,49.53,83.52,0
2025-01-01 00:01:50,27.01,66.81,104.96,49.49,83.58,0
2025-01-01 00:01:51,27.0,66.77,104.89,49.47,83.56,0
2025-01-01 00:01:52,27.05,66.88,104.97,49.4,83.66,0
2025-01-01 00:01:53,27.03,66.65,104.89,49.29,83.6,0
2025-01-01 00:01:54,27.07,66.82,104.96,49.34,83.68,0
2025-01-01 00:01:55,26.97,66.73,104.99,49.25,83.71,0
2025-01-01 00:01:56,27.11,66.67,105.0,49.4,83.68,0
2025-01-01 00:01:57,27.12,66.65,104.93,49.3,83.64,0
2025-01-01 00:01:58,27.13,66.62,105.0,49.25,83.75,0
2025-01-01 00:01:59,27.11,66.61,104.93,49.18,83.73,0
2025-01-01 00:02:00,27.19,66.56,105.03,49.24,83.75,0
2025-01-01 00:02:01,27.26,66.54,104.93,49.05,83.82,0
2025-01-01 00:02:02,27.21,66.55,105.01,49.05,83.88,0
2025-01-01 00:02:03,27.2,66.54,105.03,49.1,83.78,0
2025-01-01 00:02:04,27.17,66.53,105.09,49.12,83.86,0
2025-01-01 00:02:05,27.19,66.44,104.99,49.02,83.85,0
2025-01-01 00:02:06,27.15,66.54,104.99,48.97,83.76,0
2025-01-01 00:02:07,27.16,66.48,105.0,48.9,83.76,0
2025-01-01 00:02:08,27.24,66.5,104.98,48.86,83.82,0
2025-01-01 00:02:09,27.26,66.26,104.99,48.89,83.88,0
2025-01-01 00:02:10,27.38,66.42,104.98,48.82,83.98,0
2025-01-01 00:02:11,27.3,66.35,104.99,48.86,83.86,0
2025-01-01 00:02:12,27.28,66.29,104.98,48.8,83.84,0
2025-01-01 00:02:13,27.33,66.28,105.05,48.66,83.94,0
2025-01-01 00:02:14,27.4,66.17,104.96,48.75,83.82,0
2025-01-01 00:02:15,27.31,66.19,105.05,48.79,83.97,0
2025-01-01 00:02:16,27.4,66.16,104.93,48.74,83.85,0
2025-01-01 00:02:17,27.41,66.18,104.93,48.73,83.94,0
2025-01-01 00:02:18,27.37,66.23,104.89,48.7,83.96,0
2025-01-01 00:02:19,27.38,66.16,104.87,48.69,83.93,0
2025-01-01 00:02:20,27.38,66.17,104.88,48.55,83.86,0
2025-01-01 00:02:21,27.45,66.03,105.0,48.49,84.03,0
2025-01-01 00:02:22,27.44,66.06,104.87,48.59,83.95,0
2025-01-01 00:02:23,27.5,66.05,104.89,48.53,83.96,0
2025-01-01 00:02:24,27.47,65.93,104.8,48.56,83.97,0
2025-01-01 00:02:25,27.46,65.99,104.87,48.48,83.93,0
2025-01-01 00:02:26,27.49,65.91,104.86,48.4,84.03,0
2025-01-01 00:02:27,27.52,65.95,104.87,48.54,84.03,0
2025-01-01 00:02:28,27.41,65.84,104.78,48.44,84.01,0
2025-01-01 00:02:29,27.48,65.89,104.75,48.39,83.92,0
2025-01-01 00:02:30,27.48,65.79,104.72,48.45,83.94,0
2025-01-01 00:02:31,27.67,65.85,104.76,48.34,84.03,0
2025-01-01 00:02:32,27.52,65.8,104.86,48.35,84.05,0
2025-01-01 00:02:33,27.52,65.77,104.8,48.31,84.09,0
2025-01-01 00:02:34,27.6,65.72,104.72,48.37,84.03,0
2025-01-01 00:02:35,27.5,65.68,104.66,48.3,84.03,0
2025-01-01 00:02:36,27.6,65.62,104.66,48.32,84.03,0
2025-01-01 00:02:37,27.65,65.7,104.64,48.27,83.92,0
2025-01-01 00:02:38,27.63,65.64,104.61,48.19,83.95,0
2025-01-01 00:02:39,27.67,65.6,104.61,48.24,84.0,0
2025-01-01 00:02:40,27.67,65.55,104.55,48.2,83.98,0
2025-01-01 00:02:41,27.62,65.56,104.5,48.27,83.95,0
2025-01-01 00:02:42,27.64,65.49,104.57,48.2,84.05,0
2025-01-01 00:02:43,27.58,65.5,104.51,48.18,84.05,0
2025-01-01 00:02:44,27.64,65.53,104.55,48.15,83.97,0
2025-01-01 00:02:45,27.75,65.51,104.38,48.13,83.97,0
2025-01-01 00:02:46,27.62,65.35,104.33,48.1,83.98,0
2025-01-01 00:02:47,27.7,65.45,104.3,48.18,83.97,0
2025-01-01 00:02:48,27.7,65.37,104.26,48.13,83.98,0
2025-01-01 00:02:49,27.73,65.32,104.41,48.07,83.95,0
2025-01-01 00:02:50,27.69,65.25,104.22,48.15,84.04,0
2025-01-01 00:02:51,27.7,65.21,104.24,48.06,83.99,0
2025-01-01 00:02:52,27.74,65.14,104.26,48.16,83.92,0
2025-01-01 00:02:53,27.72,65.2,104.17,48.1,84.05,0
2025-01-01 00:02:54,27.74,65.12,104.05,48.02,83.94,0
2025-01-01 00:02:55,27.85,65.1,104.09,48.05,84.0,0
2025-01-01 00:02:56,27.89,65.07,104.02,48.1,83.96,0
2025-01-01 00:02:57,27.87,65.1,103.99,48.07,83.98,0
2025-01-01 00:02:58,27.82,65.06,104.02,48.09,83.98,0
2025-01-01 00:02:59,27.82,65.0,103.94,48.09,83.86,0
2025-01-01 00:03:00,27.81,64.95,103.89,48.08,83.9,0
2025-01-01 00:03:01,27.81,64.87,103.89,48.05,83.99,0
2025-01-01 00:03:02,27.79,64.92,103.82,48.09,83.87,0
2025-01-01 00:03:03,27.83,64.91,103.78,47.99,83.88,0
2025-01-01 00:03:04,27.88,64.8,103.74,47.97,83.92,0
2025-01-01 00:03:05,27.75,64.79,103.71,48.08,83.84,0
2025-01-01 00:03:06,27.81,64.88,103.57,47.89,83.86,0
2025-01-01 00:03:07,27.82,64.7,103.64,48.01,83.79,0
2025-01-01 00:03:08,27.79,64.76,103.59,48.0,83.9,0
2025-01-01 00:03:09,27.8,64.61,103.48,48.0,83.81,0
2025-01-01 00:03:10,27.85,64.67,103.41,48.07,83.78,0
2025-01-01 00:03:11,27.92,64.64,103.45,48.03,83.79,0
2025-01-01 00:03:12,27.91,64.65,103.39,48.04,83.75,0
2025-01-01 00:03:13,27.95,64.52,103.42,48.0,83.67,0
2025-01-01 00:03:14,27.89,64.49,103.33,47.98,83.71,0
2025-01-01 00:03:15,27.8,64.47,103.12,47.93,83.75,0
2025-01-01 00:03:16,27.94,64.48,103.14,48.01,83.7,0
2025-01-01 00:03:17,27.84,64.5,103.18,48.01,83.69,0
2025-01-01 00:03:18,27.92,64.29,103.08,47.99,83.62,0
2025-01-01 00:03:19,27.9,64.45,103.07,48.0,83.68,0
2025-01-01 00:03:20,27.99,64.37,103.0,48.0,83.67,0
2025-01-01 00:03:21,27.94,64.33,102.97,48.1,83.59,0
2025-01-01 00:03:22,27.99,64.26,103.0,48.02,83.69,0
2025-01-01 00:03:23,27.94,64.19,102.82,48.04,83.61,0
2025-01-01 00:03:24,27.96,64.16,102.79,48.17,83.65,0
2025-01-01 00:03:25,27.96,64.15,102.74,48.11,83.5,0
2025-01-01 00:03:26,27.93,64.04,102.7,48.12,83.51,0
2025-01-01 00:03:27,28.02,64.02,102.56,48.11,83.56,0
2025-01-01 00:03:28,28.03,64.03,102.63,48.1,83.48,0
2025-01-01 00:03:29,28.0,64.05,102.44,48.19,83.54,0
2025-01-01 00:03:30,27.93,64.0,102.49,48.14,83.43,0
2025-01-01 00:03:31,27.93,63.94,102.47,48.17,83.41,0
2025-01-01 00:03:32,28.0,63.77,102.42,48.06,83.39,0
2025-01-01 00:03:33,27.91,63.81,102.36,48.14,83.41,0
2025-01-01 00:03:34,27.97,63.86,102.25,48.11,83.42,0
2025-01-01 00:03:35,27.95,63.73,102.17,48.27,83.39,0
2025-01-01 00:03:36,27.96,63.75,102.12,48.31,83.34,0
2025-01-01 00:03:37,28.0,63.79,102.09,48.21,83.29,0
2025-01-01 00:03:38,27.98,63.7,102.06,48.24,83.32,0
2025-01-01 00:03:39,27.98,63.67,101.87,48.3,83.27,0
2025-01-01 00:03:40,28.03,63.48,102.01,48.26,83.29,0
2025-01-01 00:03:41,27.93,63.62,101.8,48.26,83.31,0
2025-01-01 00:03:42,27.98,63.57,101.84,48.33,83.19,0
2025-01-01 00:03:43,28.01,63.64,101.73,48.33,83.21,0
2025-01-01 00:03:44,28.05,63.54,101.71,48.28,83.22,0
2025-01-01 00:03:45,27.94,63.46,101.58,48.36,83.13,0
2025-01-01 00:03:46,28.01,63.43,101.64,48.4,83.07,0
2025-01-01 00:03:47,28.04,63.44,101.44,48.43,83.1,0
2025-01-01 00:03:48,27.98,63.41,101.43,48.42,83.03,0
2025-01-01 00:03:49,28.0,63.25,101.31,48.52,82.97,0
2025-01-01 00:03:50,27.95,63.16,101.29,48.39,83.06,0
2025-01-01 00:03:51,28.05,63.2,101.37,48.53,82.94,0
2025-01-01 00:03:52,27.87,63.31,101.13,48.42,82.98,0
2025-01-01 00:03:53,28.12,63.23,101.16,48.56,82.94,0
2025-01-01 00:03:54,28.04,63.14,101.08,48.55,82.84,0
2025-01-01 00:03:55,27.99,63.0,101.01,48.52,82.79,0
2025-01-01 00:03:56,28.01,63.12,101.0,48.52,82.77,0
2025-01-01 00:03:57,28.05,62.96,100.88,48.65,82.74,0
2025-01-01 00:03:58,28.0,62.91,100.8,48.66,82.68,0
2025-01-01 00:03:59,28.02,62.94,100.8,48.68,82.8,0
2025-01-01 00:04:00,28.0,62.88,100.71,48.72,82.7,0
2025-01-01 00:04:01,28.0,62.83,100.61,48.65,82.76,0
2025-01-01 00:04:02,27.94,62.79,100.55,48.79,82.63,0
2025-01-01 00:04:03,28.06,62.75,100.53,48.73,82.72,0
2025-01-01 00:04:04,27.94,62.76,100.49,48.82,82.57,0
2025-01-01 00:04:05,27.99,62.71,100.39,48.87,82.66,0
2025-01-01 00:04:06,27.96,62.61,100.33,48.98,82.48,0
2025-01-01 00:04:07,28.07,62.72,100.24,48.91,82.57,0
2025-01-01 00:04:08,27.97,62.59,100.18,48.85,82.43,0
2025-01-01 00:04:09,27.93,62.56,100.11,48.95,82.35,0
2025-01-01 00:04:10,28.0,62.56,99.98,48.98,82.46,0
2025-01-01 00:04:11,27.92,62.57,100.04,48.96,82.36,0
2025-01-01 00:04:12,28.01,62.45,99.98,48.97,82.34,0
2025-01-01 00:04:13,27.91,62.4,99.85,49.01,82.36,0
2025-01-01 00:04:14,28.03,62.4,99.78,49.06,82.32,0
2025-01-01 00:04:15,27.98,62.45,99.79,49.12,82.22,0
2025-01-01 00:04:16,27.98,62.29,99.74,49.19,82.16,0
2025-01-01 00:04:17,27.9,62.16,99.67,49.11,82.06,0
2025-01-01 00:04:18,27.99,62.34,99.58,49.24,82.13,0
2025-01-01 00:04:19,27.96,62.22,99.51,49.24,82.11,0
2025-01-01 00:04:20,27.93,62.19,99.45,49.22,82.09,0
2025-01-01 00:04:21,27.91,62.1,99.4,49.35,82.05,0
2025-01-01 00:04:22,27.95,62.1,99.4,49.35,81.99,0
2025-01-01 00:04:23,27.88,61.97,99.26,49.32,81.95,0
2025-01-01 00:04:24,27.95,62.01,99.21,49.41,81.93,0
2025-01-01 00:04:25,27.84,61.9,99.14,49.36,81.92,0
2025-01-01 00:04:26,28.02,61.97,99.08,49.52,81.86,0
2025-01-01 00:04:27,27.92,61.84,99.01,49.46,81.83,0
2025-01-01 00:04:28,27.94,61.83,98.99,49.57,81.83,0
2025-01-01 00:04:29,27.85,61.66,98.95,49.48,81.73,0
2025-01-01 00:04:30,27.86,61.66,98.87,49.62,81.68,0
2025-01-01 00:04:31,27.79,61.69,98.8,49.54,81.68,0
2025-01-01 00:04:32,27.91,61.7,98.73,49.6,81.7,0
2025-01-01 00:04:33,27.9,61.63,98.62,49.65,81.56,0
2025-01-01 00:04:34,27.89,61.68,98.53,49.63,81.64,0
2025-01-01 00:04:35,27.89,61.52,98.59,49.71,81.62,0
2025-01-01 00:04:36,27.93,61.49,98.59,49.75,81.53,0
2025-01-01 00:04:37,27.9,61.54,98.5,49.81,81.41,0
2025-01-01 00:04:38,27.9,61.4,98.46,49.85,81.4,0
2025-01-01 00:04:39,27.88,61.33,98.26,49.94,81.34,0
2025-01-01 00:04:40,27.82,61.39,98.31,49.94,81.39,0
2025-01-01 00:04:41,27.83,61.25,98.26,49.93,81.29,0
2025-01-01 00:04:42,27.92,61.31,98.15,50.08,81.23,0
2025-01-01 00:04:43,27.9,61.24,98.09,50.08,81.25,0
2025-01-01 00:04:44,27.87,61.26,98.0,50.0,81.14,0
2025-01-01 00:04:45,27.74,61.27,97.9,50.06,81.14,0
2025-01-01 00:04:46,27.85,61.16,97.94,50.08,81.1,0
2025-01-01 00:04:47,27.84,61.07,97.92,50.17,81.11,0
2025-01-01 00:04:48,27.85,61.1,97.8,50.11,81.05,0
2025-01-01 00:04:49,27.78,60.98,97.76,50.27,81.0,0
2025-01-01 00:04:50,27.82,61.05,97.69,50.37,80.99,0
2025-01-01 00:04:51,27.71,60.96,97.64,50.34,80.95,0
2025-01-01 00:04:52,27.78,60.82,97.56,50.26,80.85,0
2025-01-01 00:04:53,27.81,60.93,97.53,50.28,80.86,0
2025-01-01 00:04:54,27.84,60.77,97.45,50.37,80.76,0
2025-01-01 00:04:55,27.8,60.76,97.43,50.36,80.74,0
2025-01-01 00:04:56,27.8,60.71,97.44,50.42,80.73,0
2025-01-01 00:04:57,27.8,60.61,97.21,50.39,80.75,0
2025-01-01 00:04:58,27.72,60.77,97.22,50.51,80.72,0
2025-01-01 00:04:59,27.84,60.71,97.25,50.59,80.63,0
2025-01-01 00:05:00,27.77,60.54,97.1,50.57,80.56,0
2025-01-01 00:05:01,27.7,60.56,97.14,50.6,80.6,0
2025-01-01 00:05:02,27.65,60.48,97.0,50.54,80.48,0
2025-01-01 00:05:03,27.7,60.52,97.02,50.61,80.54,0
2025-01-01 00:05:04,27.75,60.44,96.93,50.65,80.39,0
2025-01-01 00:05:05,27.74,60.46,96.97,50.7,80.31,0
2025-01-01 00:05:06,27.68,60.24,96.86,50.75,80.3,0
2025-01-01 00:05:07,27.59,60.31,96.77,50.73,80.14,0
2025-01-01 00:05:08,27.66,60.33,96.83,50.79,80.22,0
2025-01-01 00:05:09,27.67,60.16,96.71,50.89,80.27,0
2025-01-01 00:05:10,27.63,60.16,96.61,50.84,80.15,0
2025-01-01 00:05:11,27.65,60.17,96.57,50.98,80.11,0
2025-01-01 00:05:12,27.62,60.05,96.44,50.98,80.12,0
2025-01-01 00:05:13,27.6,60.05,96.54,50.89,80.02,0
2025-01-01 00:05:14,27.64,59.94,96.49,50.93,80.03,0
2025-01-01 00:05:15,27.59,59.89,96.49,50.99,79.93,0
2025-01-01 00:05:16,27.59,59.98,96.33,51.06,79.95,0
2025-01-01 00:05:17,27.6,59.9,96.32,51.04,79.89,0
2025-01-01 00:05:18,27.51,59.7,96.32,51.15,79.73,0
2025-01-01 00:05:19,27.5,59.84,96.36,51.14,79.77,0
2025-01-01 00:05:20,27.53,59.84,96.18,51.12,79.74,0
2025-01-01 00:05:21,27.48,59.73,96.26,51.21,79.71,0
2025-01-01 00:05:22,27.5,59.61,96.18,51.21,79.68,0
2025-01-01 00:05:23,27.66,59.66,96.06,51.22,79.7,0
2025-01-01 00:05:24,27.5,59.53,96.1,51.24,79.7,0
2025-01-01 00:05:25,27.54,59.54,96.08,51.3,79.61,0
2025-01-01 00:05:26,27.5,59.48,95.95,51.37,79.51,0
2025-01-01 00:05:27,27.44,59.44,95.97,51.45,79.43,0
2025-01-01 00:05:28,27.45,59.52,95.9,51.39,79.4,0
2025-01-01 00:05:29,27.46,59.4,95.92,51.45,79.54,0
2025-01-01 00:05:30,27.45,59.38,95.85,51.4,79.39,0
2025-01-01 00:05:31,27.4,59.34,95.87,51.39,79.39,0
2025-01-01 00:05:32,27.47,59.28,95.66,51.43,79.36,0
2025-01-01 00:05:33,27.39,59.2,95.71,51.53,79.28,0
2025-01-01 00:05:34,27.37,59.19,95.69,51.46,79.29,0
2025-01-01 00:05:35,27.35,59.23,95.75,51.58,79.15,0
2025-01-01 00:05:36,27.37,59.13,95.6,51.57,79.07,0
2025-01-01 00:05:37,27.4,59.07,95.62,51.59,79.08,0
2025-01-01 00:05:38,27.36,59.02,95.63,51.53,79.06,0
2025-01-01 00:05:39,27.41,58.96,95.52,51.64,79.03,0
2025-01-01 00:05:40,27.32,58.99,95.56,51.69,79.0,0
2025-01-01 00:05:41,27.28,58.96,95.59,51.64,78.89,0
2025-01-01 00:05:42,27.33,58.88,95.36,51.71,78.87,0
2025-01-01 00:05:43,27.26,58.87,95.45,51.72,78.84,0
2025-01-01 00:05:44,27.28,58.8,95.46,51.74,78.78,0
2025-01-01 00:05:45,27.29,58.74,95.43,51.74,78.88,0
2025-01-01 00:05:46,27.21,58.71,95.37,51.72,78.79,0
2025-01-01 00:05:47,27.13,58.64,95.29,51.8,78.8,0
2025-01-01 00:05:48,27.19,58.64,95.33,51.83,78.63,0
2025-01-01 00:05:49,27.19,58.66,95.33,51.8,78.68,0
2025-01-01 00:05:50,27.03,58.61,95.25,51.71,78.62,0
2025-01-01 00:05:51,27.22,58.53,95.31,51.9,78.63,0
2025-01-01 00:05:52,27.22,58.53,95.25,51.75,78.51,0
2025-01-01 00:05:53,27.09,58.56,95.21,51.85,78.51,0
2025-01-01 00:05:54,27.12,58.5,95.17,51.86,78.41,0
2025-01-01 00:05:55,27.03,58.35,95.19,51.85,78.38,0
2025-01-01 00:05:56,27.01,58.33,95.1,51.92,78.38,0
2025-01-01 00:05:57,27.0,58.28,95.12,51.91,78.41,0
2025-01-01 00:05:58,26.96,58.27,95.13,51.93,78.31,0
2025-01-01 00:05:59,27.0,58.21,95.09,51.96,78.27,0
2025-01-01 00:06:00,27.12,58.18,95.08,51.84,78.14,0
2025-01-01 00:06:01,26.93,58.16,95.12,51.85,78.24,0
2025-01-01 00:06:02,26.97,58.11,95.17,51.98,78.15,0
2025-01-01 00:06:03,26.94,57.96,95.04,51.94,78.07,0
2025-01-01 00:06:04,26.96,58.03,95.05,51.92,78.1,0
2025-01-01 00:06:05,26.97,57.93,95.13,51.96,78.05,0
2025-01-01 00:06:06,26.97,57.96,95.09,51.98,77.99,0
2025-01-01 00:06:07,26.94,57.85,95.04,51.97,77.97,0
2025-01-01 00:06:08,26.9,57.78,95.0,51.98,77.96,0
2025-01-01 00:06:09,26.84,57.9,94.98,52.03,77.94,0
2025-01-01 00:06:10,26.84,57.88,94.96,52.03,77.93,0
2025-01-01 00:06:11,26.83,57.83,95.0,52.0,77.86,0
2025-01-01 00:06:12,26.84,57.76,95.05,51.91,77.88,0
2025-01-01 00:06:13,26.74,57.73,95.06,51.94,77.76,0
2025-01-01 00:06:14,26.76,57.63,94.99,52.04,77.81,0
2025-01-01 00:06:15,26.87,57.58,94.99,51.91,77.67,0
2025-01-01 00:06:16,26.83,57.65,94.94,51.97,77.68,0
2025-01-01 00:06:17,26.78,57.49,95.02,51.98,77.65,0
2025-01-01 00:06:18,26.77,57.49,94.98,51.99,77.61,0
2025-01-01 00:06:19,26.71,57.44,95.08,52.03,77.57,0
2025-01-01 00:06:20,26.75,57.4,95.06,52.02,77.55,0
2025-01-01 00:06:21,26.72,57.3,94.95,51.94,77.53,0
2025-01-01 00:06:22,26.77,57.45,95.04,52.02,77.4,0
2025-01-01 00:06:23,26.64,57.26,94.98,51.98,77.44,0
2025-01-01 00:06:24,26.55,57.3,94.97,52.0,77.53,0
2025-01-01 00:06:25,26.59,57.1,95.01,52.04,77.5,0
2025-01-01 00:06:26,26.55,57.21,95.01,51.97,77.5,0
2025-01-01 00:06:27,26.52,57.16,95.06,52.03,77.34,0
2025-01-01 00:06:28,26.6,57.09,95.06,51.95,77.34,0
2025-01-01 00:06:29,26.55,57.09,95.05,52.02,77.28,0
2025-01-01 00:06:30,26.46,57.1,95.02,51.92,77.22,0
2025-01-01 00:06:31,26.6,56.89,95.23,52.0,77.23,0
2025-01-01 00:06:32,26.51,56.98,95.11,51.97,77.22,0
2025-01-01 00:06:33,26.5,56.92,95.09,51.92,77.22,0
2025-01-01 00:06:34,26.51,56.74,95.15,51.93,77.13,0
2025-01-01 00:06:35,26.44,56.91,95.17,51.87,77.13,0
2025-01-01 00:06:36,26.39,56.75,95.11,51.94,77.13,0
2025-01-01 00:06:37,26.45,56.82,95.18,51.86,77.07,0
2025-01-01 00:06:38,26.45,56.78,95.23,51.91,77.04,0
